origin,destination,flow
E02006674,E02006694,2
E02000218,E02004845,2
E02005444,E02001990,1
E02000343,E02000677,8
E02000837,E02003399,1
E02006179,W02000019,1
E02006492,E02002109,4
E02002231,E02002441,1
E02005351,E02005852,3
E02002647,E02005319,13
E02004833,E02005160,1
E02004216,E02006840,14
E02001806,E02002773,2
E02002049,E02001949,2
E02004987,E02000500,1
E02000956,E02000393,3
E02005892,E02003250,1
W02000263,W02000322,1
E02001032,E02001200,3
E02006490,E02002099,4
E02001036,E02001155,10
E02002577,E02001476,1
E02005606,E02006293,1
E02005204,E02001427,2
E02006086,E02004132,1
E02003530,E02006561,2
E02002599,E02003882,1
E02003333,E02000372,2
E02006750,E02003223,2
E02001424,E02005307,3
E02002666,E02002439,10
E02005392,E02000451,1
E02004297,E02001788,1
E02004114,E02002412,1
E02005315,E02006727,1
E02000130,E02000024,1
E02002182,E02002075,7
E02001313,E02005262,4
E02002541,E02005750,9
E02001479,E02001283,1
E02005559,E02005573,1
E02003805,E02002587,2
E02006423,E02000600,1
E02004551,E02000028,1
E02000147,E02003310,1
E02004071,E02002808,5
E02000861,E02000644,1
E02004571,E02000878,14
E02006638,E02006649,3
E02006347,E02000243,2
E02000783,E02006929,6
E02001729,E02004034,1
E02000890,E02000086,1
E02004620,E02006538,1
E02004945,E02003415,1
E02000807,E02000719,1
E02006470,E02006515,2
E02006401,E02006448,1
E02005189,E02000992,2
E02000415,E02000914,1
E02001175,E02001369,1
E02002304,E02002417,1
E02003278,E02000050,1
E02006223,E02001949,1
E02002783,E02001642,1
E02000818,E02000785,2
E02006117,E02006093,2
E02004458,E02000905,1
E02004303,E02002363,1
E02000899,E02000104,1
E02000643,E02006389,1
E02000965,E02000371,36
E02003806,E02001261,1
E02003412,E02003411,85
E02002710,E02002733,2
E02004120,E02004096,1
E02003444,E02000257,1
W02000385,E02000382,1
E02005645,E02000815,1
E02003329,E02000726,1
E02005919,E02005828,13
E02006328,E02003715,2
E02006861,E02006294,1
E02000904,E02000388,1
E02001138,E02005256,7
E02004778,E02006589,1
E02000833,E02000943,3
E02002816,E02002448,1
E02000860,E02000214,1
E02004462,E02003611,1
E02004708,E02004714,4
E02001929,E02001926,10
E02004470,E02004877,1
E02005304,E02000383,1
E02003120,E02006065,1
E02004237,E02004779,4
E02006900,E02000193,1
E02006568,E02000808,2
E02004061,E02000439,1
E02000439,E02006568,1
E02000051,E02000171,4
E02005732,OD0000003,294
E02005796,E02004303,1
E02004504,OD0000003,441
E02000605,E02000953,5
E02000928,E02000316,2
E02006018,E02002969,8
E02004815,E02005033,2
E02006134,E02005861,1
E02006474,E02006523,18
E02004379,E02004399,4
E02005975,E02004493,1
E02002309,E02001465,3
E02000185,E02000130,1
E02005255,E02002352,1
E02003292,E02000620,4
